effect,contrast,checkpoint,epsilon,metric,n_seeds,mean_diff,median_diff,sd_diff,min_diff,max_diff,n_positive,n_negative,per_seed
adaptive,V11-V10,last,0.03,test_recall,2,0.11111111111111113,0.11111111111111113,0.022222222222222227,0.0888888888888889,0.13333333333333336,2,0,42:+0.1333;43:+0.0889
adaptive,V11-V10,last,0.03,test_FAR,2,0.002197802197802204,0.002197802197802204,0.013186813186813182,-0.010989010989010978,0.015384615384615385,1,1,42:+0.0154;43:-0.0110
adaptive,V11-V10,last,0.03,val_pgd_pauroc_far020,2,0.09058226065969424,0.09058226065969424,0.015260458567980723,0.07532180209171352,0.10584271922767496,2,0,42:+0.0753;43:+0.1058
adaptive,V11-V10,last,0.03,val_pgd_auroc,2,0.03404062751407888,0.03404062751407888,0.012369267900241399,0.021671359613837482,0.04640989541432028,2,0,42:+0.0217;43:+0.0464
adaptive,V11-V10,last,0.03,val_sel_recall,2,0.11363636363636365,0.11363636363636365,0.0,0.11363636363636365,0.11363636363636365,2,0,42:+0.1136;43:+0.1136
adaptive,V11-V10,last,0.03,test_pgd_cohens_d,2,0.11516000400687154,0.11516000400687154,0.011319975679579763,0.10384002832729178,0.1264799796864513,2,0,42:+0.1038;43:+0.1265
adaptive,V11-V10,last,0.03,test_clean_recall_at_tau,2,0.055555555555555636,0.055555555555555636,0.011111111111111127,0.04444444444444451,0.06666666666666676,2,0,42:+0.0444;43:+0.0667
adaptive,V11-V10,last,0.03,test_pgd_argmax_acc7,2,-0.028999999999999984,-0.028999999999999984,0.005000000000000018,-0.034,-0.023999999999999966,0,2,42:-0.0240;43:-0.0340
adaptive,V11-V10,maxscore,0.015,test_pgd_pauroc_far020,2,-0.033699633699633635,-0.033699633699633635,0.06544566544566527,-0.0991452991452989,0.03174603174603163,1,1,42:+0.0317;43:-0.0991
adaptive,V11-V10,maxscore,0.015,test_pgd_auroc,2,-0.008620268620268656,-0.008620268620268656,0.012576312576312532,-0.021196581196581188,0.003956043956043875,1,1,42:+0.0040;43:-0.0212
adaptive,V11-V10,maxscore,0.015,test_recall,2,-0.011111111111111072,-0.011111111111111072,0.09999999999999998,-0.11111111111111105,0.0888888888888889,1,1,42:+0.0889;43:-0.1111
adaptive,V11-V10,maxscore,0.015,test_FAR,2,-0.009890109890109883,-0.009890109890109883,0.01868131868131867,-0.028571428571428553,0.008791208791208788,1,1,42:+0.0088;43:-0.0286
adaptive,V11-V10,maxscore,0.015,val_pgd_pauroc_far020,2,-0.018277353177795663,-0.018277353177795663,0.03109915526950935,-0.04937650844730501,0.012821802091713685,1,1,42:+0.0128;43:-0.0494
adaptive,V11-V10,maxscore,0.015,val_pgd_auroc,2,-0.003016894609814913,-0.003016894609814913,0.006184633950120699,-0.009201528559935612,0.0031677393403057863,1,1,42:+0.0032;43:-0.0092
adaptive,V11-V10,maxscore,0.015,val_sel_recall,2,-0.03409090909090906,-0.03409090909090906,0.05681818181818177,-0.09090909090909083,0.022727272727272707,1,1,42:+0.0227;43:-0.0909
adaptive,V11-V10,maxscore,0.015,test_pgd_cohens_d,2,-0.18563040431609656,-0.18563040431609656,0.13671672008487668,-0.32234712440097324,-0.04891368423121989,0,2,42:-0.0489;43:-0.3223
adaptive,V11-V10,maxscore,0.015,test_clean_recall_at_tau,2,-0.011111111111111127,-0.011111111111111127,0.011111111111111127,-0.022222222222222254,0.0,0,1,42:+0.0000;43:-0.0222
