path,kind,sha256,size_bytes,generator_script,link_method,evidence_level,evidence_provenance,split,claim_boundary,overleaf_ready,overleaf_blockers,committed
results/cross_architecture/gru/gru_seed42_pgd_safety_metrics_test_epsilon_0_03.csv,csv,1ad37d947715ce720e8a38d3e54cd0f0fe93c97ca84ca2f4e1901dbcbbc1e9e6,477,unknown,none,test-descriptive,path:convention,test,thesis-safe,no,not-a-figure-or-table-float,yes
results/cross_architecture/gru/gru_seed42_pgd_sweep_predictions_legacy.csv,predictions,e3f894fd1698afd58f7c6f14a3c1c5f520184c7b086f1611bbb7b0a4725b12b9,1439918,unknown,none,test-descriptive,path:convention,test,thesis-safe,no,not-a-figure-or-table-float,yes
results/cross_architecture/gru/gru_seed42_pgd_sweep_predictions_test.csv,predictions,54809c13a1442af29ace0700e21513d5a1ade38d338817908b65e49bd595ee0e,721728,unknown,none,test-descriptive,path:convention,test,thesis-safe,no,not-a-figure-or-table-float,yes
results/cross_architecture/gru/gru_seed42_summary_metrics.csv,csv,99a1cebe8a966b3cffb77a51c33ee06a16252003fbcbc9acdbce12795d7fb914,428,unknown,none,test-descriptive,path:convention,test,thesis-safe,no,not-a-figure-or-table-float,yes
results/cross_architecture/gru/gru_seed42_sweep_metadata.json,metadata,fc8c57f4552084ac53664cd5c9267d769a27380bfd46728778faffa7503f7e41,3516,unknown,none,test-descriptive,path:convention,test,thesis-safe,no,not-a-figure-or-table-float,yes
results/cross_architecture/gru/gru_seed42_test_predictions.csv,csv,0bb77d5ba1173e45fb3e046a187ba1d49c7d57d84abdc71369970fed261988b6,18064,unknown,none,test-descriptive,path:convention,test,thesis-safe,no,not-a-figure-or-table-float,yes
results/cross_architecture/gru/gru_seed42_training_curve.csv,csv,6a7ab0258cc01990db44d22b5191fa239925c1a82086d6baa086d2b0d165b10b,6760,unknown,none,test-descriptive,path:convention,test,thesis-safe,no,not-a-figure-or-table-float,yes
results/cross_architecture/gru/gru_seed43_attacks_metadata.json,metadata,36d942958b157c7db4a8610f45caa4b843a53c613e901e1b40a1711546ddfda3,5666,unknown,none,test-descriptive,path:convention,test,thesis-safe,no,not-a-figure-or-table-float,yes
results/cross_architecture/gru/gru_seed43_fall_binary_metrics.csv,csv,4ff62c777479c7c458f988c8987acc516e9df58b42e2cf8c0e3fd46f632f45e5,289,unknown,none,test-descriptive,path:convention,test,thesis-safe,no,not-a-figure-or-table-float,yes
results/cross_architecture/gru/gru_seed43_fgsm_epsilon_sweep_legacy.csv,csv,c6f3d634828235d8c0057a8a23ef2b9493802a9da80649af151b39b494d994a7,2573,unknown,none,test-descriptive,path:convention,test,thesis-safe,no,not-a-figure-or-table-float,yes
results/cross_architecture/gru/gru_seed43_fgsm_epsilon_sweep_test.csv,csv,bdef3e9b8af41899761026c4c456e77610ff3785c467fd082d8f7bf5070eac25,2529,unknown,none,test-descriptive,path:convention,test,thesis-safe,no,not-a-figure-or-table-float,yes
results/cross_architecture/gru/gru_seed43_fgsm_predictions_legacy_epsilon_0_03.csv,predictions,f142ed50fa1ce7b9804124d0344cb230a46f0c96048718ea9e2df1d3e8bf52f0,68085,unknown,none,test-descriptive,path:convention,test,thesis-safe,no,not-a-figure-or-table-float,yes
results/cross_architecture/gru/gru_seed43_fgsm_predictions_test_epsilon_0_03.csv,predictions,da325396ae9ee308c714519511bff07134924699ecf631d88937e3dae1881d2f,34297,unknown,none,test-descriptive,path:convention,test,thesis-safe,no,not-a-figure-or-table-float,yes
results/cross_architecture/gru/gru_seed43_fgsm_safety_metrics_legacy_epsilon_0_03.csv,csv,3a3b0b8af3a4378ca98df797d012cd4ba5c063e734b5667ec89d197368aa5906,476,unknown,none,test-descriptive,path:convention,test,thesis-safe,no,not-a-figure-or-table-float,yes
results/cross_architecture/gru/gru_seed43_fgsm_safety_metrics_test_epsilon_0_03.csv,csv,29e8b370143a85e2b8518f4490c37b090f42b2ab4137cbf0d88a8677538cf6a3,474,unknown,none,test-descriptive,path:convention,test,thesis-safe,no,not-a-figure-or-table-float,yes
results/cross_architecture/gru/gru_seed43_fgsm_sweep_predictions_legacy.csv,predictions,7495dc697730bd129303c34d7fbc90446f9112653a4b388bc3b88671833f5f20,1219161,unknown,none,test-descriptive,path:convention,test,thesis-safe,no,not-a-figure-or-table-float,yes
